snt_id,pragmatics,section,para,chinese_offset
59,,1,19,303.94
60,,1,19,306.91
61,,1,19,308.46
62,,1,20,314.5
63,,1,20,316.19
64,,1,21,321.03
65,,1,22,324.93
66,,1,22,328.81
67,,1,22,330.8
68,,1,22,332.19
69,,1,22,334.32
70,,1,23,336.38
71,,1,24,340.44
72,,1,24,343.04
73,,1,24,344.82
74,,1,25,355.7
75,,1,25,365.73
76,,1,25,368.47
77,这不仅仅是一个盒子选择的力量让人自由成为任何想成为的人如同给一张空白支票小王子通过盒子选择他的羊样貌解决了潜在问题消除了已存在的问题,1,26,378.68
78,最重要的东西往往不是肉眼可见的而是通过心灵和想象力才能感知的选择的力量让人自由成为任何想成为的人如同给一张空白支票小王子通过盒子选择羊样貌解决潜在和已存在的问题这力量不可被高估,1,26,380.55
79,选择的力量让人自由成为任何想成为的人如同给一张空白支票小王子通过盒子选择羊样貌解决潜在和已存在的问题这力量不可被高估,1,27,389.07
80,,1,27,391.96
81,,1,28,393.29
82,每个人的世界观和生活环境是相对和主观的每个人的内心世界都是独特的我们看待事物的方式深受个人经历和想象的影响,1,29,400.07
83,,1,29,402.94
84,,1,30,407.7
85,,1,30,413.42
86,,1,31,417.72
87,,1,31,424.44
88,,1,31,428.47
89,,1,31,439.14
90,,1,32,440.94
91,,1,32,441.89
92,,1,32,443.14
93,生活,1,32,444.32
94,,1,33,447.08
95,,1,33,449.95
96,我的生活出现了问题,1,33,451.93
97,,1,34,454.61
98,,1,35,455.4
99,,1,35,456.75
100,,1,36,462.01
101,小王子对飞行员不幸的轻松态度以及飞行员要求被严肃对待的愿望成人倾向于将重点放在物质和表面的问题上而忽略了生活的本质和简单的快乐小王子的态度挑战了这种观念从儿童的视角看世界可能更接近生活的真谛,1,36,464.58
102,,1,36,469.1
103,,1,36,471.23
104,小王子和飞行员相遇两个世界成人的现实充满挑战和不幸小王子的内在世界充满好奇和纯真这相遇展现不同态度,1,37,481.95
105,,1,38,484.27
106,,1,38,497.43
107,,1,38,502.08
108,,1,39,507.48
109,,1,39,513.5
110,,1,39,515.21
111,,1,39,517.43
112,,1,40,525.25
113,,1,41,526.67
114,限制和束缚,1,41,531.16
115,,1,42,536.01
116,,1,42,537.52
117,,1,43,542.27
118,,1,44,547.55
119,,1,45,549.31
120,,1,45,557.74
121,飞行员建议用绳子拴住小羊的想法成人世界试图通过控制和规则来维护秩序和安全而小王子的回应强调了放手让他人或动物有自己的空间和选择的重要性这也是对成长和自我发现过程的尊重,1,46,564.95
122,,2,47,6.22
123,,2,48,8.82
124,,2,48,20.39
125,,2,48,25.85
126,,2,48,28.83
127,小王子的家虽小但独一无二每个存在都有其独特价值在宇宙中同样重要,2,49,34.96
128,,2,49,42.34
129,,2,50,49.41
130,,2,50,53.93
131,大人们只注重外在,2,50,56.39
132,,2,51,67.13
133,,2,51,73.53
134,,2,51,76.61
135,,2,52,85.16
136,被社会规训而看不到本质的大人,2,52,90.83
137,被社会规训而看不到本质的大人,2,52,94.16
138,被社会规训而看不到本质的大人,2,52,96.16
139,被社会规训而看不到本质的大人,2,52,98.28
140,被社会规训而看不到本质的大人,2,52,101.5
141,被社会规训而看不到本质的大人,2,52,102.68
142,被社会规训而看不到本质的大人,2,52,103.95
143,被社会规训而看不到本质的大人,2,52,105.8
144,被社会规训而看不到本质的大人,2,52,109.18
145,被社会规训而看不到本质的大人,2,52,122.18
146,被社会规训而看不到本质的大人,2,52,126.59
147,成人关注外在信息忽略性格兴趣情感关注表面现象忽视深层人格特质被社会规训看不到本质,2,52,130.04
148,被社会规训而看不到本质的大人,2,53,137.69
149,被社会规训而看不到本质的大人,2,53,147.61
150,成人以量化标签评判事物,2,53,159.16
151,被社会规训而看不到本质的大人,2,53,160.95
152,被社会规训而看不到本质的大人,2,53,165.32
153,,2,53,163.91
154,,2,54,171.31
155,,2,54,174.93
156,,2,54,189.57
157,,2,55,196.62
158,,2,55,200.45
159,,2,55,206.26
160,,2,55,210.28
161,,2,55,213.68
162,,2,55,219.62
163,,2,55,224.55
164,,2,55,236.54
165,,2,56,241.07
166,,2,56,243.58
167,,2,56,247.62
168,,2,56,257.51
169,,2,56,260.5
170,,2,56,266.19
171,,2,56,269.86
172,,2,56,272.54
173,,2,56,276.56
174,,2,56,278.5
175,内在世界和想象力一个充满无限可能性的空间需要个体自己去发现和解释,2,56,283.38
176,,2,56,286.16
177,,2,56,289.05
178,,2,57,295.8
179,,2,57,299.55
180,一种威胁这些大树如果不加以控制会覆盖整个星球破坏其生态平衡生活中潜在的大问题如果不加以及时处理最终可能失控并引起严重后果,2,57,305.48
181,小问题如果不加注意和管理它们会长成难以控制的猴面包树防患于未然,2,58,315.5
182,,2,59,316.82
183,,2,59,318.01
184,,2,60,319.15
185,,2,60,321.17
186,,2,61,325.65
187,,2,61,331.37
188,力量和解决大问题提到即使是带回一群大象也啃不了一棵猴面包树有些问题是如此巨大即便是集合了巨大力量也难以一下子解决,2,62,342.44
189,,2,63,356.07
190,,2,64,358.61
191,善念战胜,2,64,362.47
192,,2,65,368.94
193,,2,65,373.42
194,地控制问题和坏倾向维持世界秩序猴面包树代表未控制的错误或自私欲望可能摧毁星球,2,66,380.23
195,善与恶或者是积极与消极影响的人或事物它们存在于星球社会或个人的内心世界上不易被看见但最终会影响整个环境,2,66,384.31
196,,2,66,386.72
197,猴面包树为好坏倾向若不控制错误或自私欲望可能摧毁整个环境,2,66,391.63
198,自然和无害的东西它可以自由生长那些有益且被接受的自然属性或人的品质爱人,2,66,403.22
199,,2,66,408.19
200,,2,66,415.06
201,,2,66,418.75
202,,2,66,424.21
203,,2,66,426.5
204,,2,66,428.88
205,灾难在事态升级之前更好处理将任何带来问题的事物视为猴面包树象征性地这些植物象征欲望需加控制,2,66,434.62
206,,2,67,440.07
207,,2,67,444.75
208,爱人,2,67,455.36
209,,2,67,461.03
210,猴面包树好坏倾向及时处理以维持秩序若不控制错误和自私欲望会摧毁星球,2,68,468.99
211,,2,68,476.1
212,,2,68,481.79
213,,2,68,487.21
214,,2,68,491.06
215,一开始没有把未来可发生的风险清除造成未来的麻烦,2,68,498.34
216,智慧和给予指导或忠告的人飞行员虽然不喜欢教训人但在猴面包树苗的问题上他觉得有必要打破自己的习惯以道学家的身份发出警告,2,69,501.97
217,,2,69,514.23
218,,2,69,516.85
219,,2,69,519.15
220,,2,69,531.39
221,,2,69,536.99
222,,2,69,542.64
223,,2,69,550.04
224,,2,69,554.77
225,,2,70,557.06
226,,2,70,561.96
227,,2,70,568.24
228,小王子喜欢看日落对于安宁反思和内心体验的渴望日落通常与一天的结束宁静和美好的时刻联系在一起小王子内心的感受和需要,2,70,576
229,,2,70,583.97
230,,2,71,587.77
231,,2,72,593
232,,2,72,597.47
233,,2,73,599.1
234,,2,73,604.61
235,,2,73,608.03
236,,2,73,610.98
237,,2,73,616.11
238,孤独悲伤痛苦人和世界,2,73,625.92
239,孤独悲伤痛苦人和世界,2,74,639.51
240,孤独悲伤痛苦人和世界,2,75,642.66
241,,3,76,5.02
242,冲动行为忽视长远后果,3,76,19.21
243,,3,76,21.27
244,,3,77,22.84
245,,3,78,25.26
246,,3,79,27.87
247,,3,79,32.37
248,,3,79,39.52
249,,3,80,41.75
250,,3,81,45.15
251,,3,81,53.72
252,,3,82,54.85
253,,3,83,60.32
254,爱,3,83,61.75
255,爱,3,83,62.99
256,爱,3,83,64.99
257,保护机制人或事物用来保护自己免受伤害的防御措施爱,3,83,69.98
258,,3,83,74.37
259,,3,83,78.3
260,,3,79.01,
261,,3,80.22,
262,,3,84,85.2
263,,3,84,86.58
264,,3,84,88.29
265,人对自己的认识和世界的关系什么是意义重要的事情,3,85,89.91
266,人对自己的认识和世界的关系什么是意义重要的事情,3,86,96.22
267,人对自己的认识和世界的关系什么是意义重要的事情,3,87,99.51
268,人对自己的认识和世界的关系什么是意义重要的事情,3,88,102.41
269,人对自己的认识和世界的关系什么是意义重要的事情,3,88,107.83
270,,3,89,109.96
271,忽视美好专注物质缺乏情感,3,89,117.27
272,人对自己的认识和世界的关系什么是意义重要的事情,3,89,119.11
273,人对自己的认识和世界的关系什么是意义重要的事情,3,89,121.42
274,人对自己的认识和世界的关系什么是意义重要的事情,3,89,123.43
275,人对自己的认识和世界的关系什么是意义重要的事情,3,89,126.27
276,人对自己的认识和世界的关系什么是意义重要的事情,3,89,131.47
277,人对自己的认识和世界的关系什么是意义重要的事情,3,89,133.84
278,人对自己的认识和世界的关系什么是意义重要的事情,3,89,136.35
279,,3,90,137.59
280,生活缺乏深度和丰富性的人他们像蘑菇一样只是存在而没有真正生活在这里蘑菇成了空洞无意义生活的没有感情和美好体验的人生就如同没有生命力的蘑菇,3,91,139.07
281,,3,92,142.43
282,人对自己的认识和世界的关系什么是意义重要的事情,3,93,146.43
283,人对自己的认识和世界的关系什么是意义重要的事情,3,93,149.26
284,儿努力与成果常存矛盾,3,93,155.22
285,人对自己的认识和世界的关系什么是意义重要的事情,3,93,157.78
286,人对自己的认识和世界的关系什么是意义重要的事情,3,93,161.62
287,人对自己的认识和世界的关系什么是意义重要的事情,3,93,172.46
288,独特事物和关系幸福与人生意义,3,94,186.27
289,梦想人对自己的认识和世界的关系什么是意义重要的事情,3,94,197.81
290,人对自己的认识和世界的关系什么是意义重要的事情,3,94,200.03
291,,3,95,202.63
292,,3,95,204.57
293,,3,95,206.74
294,,3,95,208.39
295,,3,95,213.52
296,,3,95,221.35
297,,3,95,223.25
298,,3,95,224.19
299,尽全力保护所爱的人和事物免受伤害,3,95,232.04
300,,3,95,235.83
301,,3,95,246.91
302,,3,96,250.17
303,,3,96,261.1
304,,3,96,265.27
305,脆弱性爱与关怀滋养内外美,3,96,273.6
306,对生活中新变化的探索和对可能带来的影响的反思小王子对自然界深刻的感知和理解人类面对变化和新生事物时复杂的心理状态,3,96,276.63
307,,3,96,282.03
308,,3,96,295.28
309,,3,96,298.11
310,,3,96,302.17
311,,3,96,305.43
312,,3,96,309.23
313,,3,96,310.31
314,,3,96,311.95
315,,3,96,315.46
316,,3,96,320.68
317,,3,97,325.55
318,,3,98,336.87
319,,3,99,340.08
320,,3,99,347.73
321,,3,100,362.95
322,小王子的初恋,3,101,368.99
323,,3,101,376.72
324,,3,102,384.31
325,,3,103,387.57
326,,3,104,392.75
327,虚荣心的影响她对自己的外表和安全感到非常在意,3,104,395.54
328,,3,105,402.47
329,,3,105,408.78
330,,3,105,410.25
331,,3,105,414.43
332,,3,105,416.44
333,,3,105,418.42
334,,3,105,430.58
335,,3,106,434.13
336,,3,107,440.09
337,,3,108,447.18
338,,3,108,452.35
339,,3,109,458.89
340,,3,109,461.32
341,,3,109,466.32
342,恐惧潜在的危险或是过分的担忧花儿提到老虎让她感到不安尽管在她的世界里这种恐惧是不必要的人们可能会对不存在的威胁感到不安或是过度担心那些并不会影响到自己的事物,3,109,475.56
343,,3,109,479.22
344,,3,109,481.82
345,,3,109,483.75
346,,3,109,488.55
347,,3,109,490.9
348,,3,109,494.26
349,,3,110,498.91
350,,3,110,503.54
351,,3,110,506.56
352,,3,110,510.4
353,,3,110,512.38
354,,3,110,517.05
355,,3,110,514.03
356,,3,110,522.94
357,通过打扫火山对自己情感的清理和管理以防止不受控制的爆发,3,110,525.79
358,,3,110,530.63
359,,3,110,533.48
360,去掉贪欲,3,111,539.37
361,,3,111,542
362,,3,111,546.05
363,脆弱美丽的花朵爱体现在照顾上小王子滋养独特玫瑰并获得回报玫瑰让他生活美丽象征内外在美他追求智慧为了正确爱护她培养珍贵本质,3,111,552.28
364,,3,112,555.28
365,,3,113,557.34
366,,3,114,560.55
367,,3,115,562.3
368,,3,115,563.91
369,,3,116,567.49
370,,3,116,571.02
371,,3,116,574.35
372,,3,116,577.51
373,,3,116,580.92
374,,3,117,585.71
375,,3,117,589.45
376,,3,117,591.16
377,,3,117,594.09
378,,3,117,598.02
379,,3,117,599.56
380,,3,118,607.29
381,,3,118,608.72
382,生命中的威胁恐惧和不确定性花儿对野兽的无畏一种勇敢的态度愿意面对生活中的挑战和危险在成长的过程中面对困难和恐惧的重要性,3,119,616.23
383,,3,119,618.27
384,,3,119,620.21
385,,3,119,622.31
386,,3,119,624.97
387,,3,119,626.27
388,刺是花儿的自我保护机制防御和保护自己的手段花儿展示她的刺即使她愿意面对外界的风险也准备好保护自己不受伤害,3,120,630.06
389,,3,120,632.81
390,,3,120,635.57
391,,3,120,637.7
392,,3,121,641.03
393,花脆弱性小王子处理它的方式显示了它有多么脆弱美丽的花朵爱体现在照顾上小王子滋养独特玫瑰并获得回报玫瑰让他生活美丽象征内外在美他追求智慧为了正确爱护她培养珍贵本质,3,121,643.69
394,,4,122,7.4
395,,4,122,12.69
396,爱慕权势或以自我为中心的人权力的虚幻和权威的空洞国王声称对所有事物拥有权力但他的王国只有他一个人权力和控制欲望的荒谬性以及领导与权威的真正意义,4,123,15.55
397,,4,123,23.24
398,,4,124,24.16
399,,4,124,28.39
400,,4,125,33.69
401,权力,4,126,38.47
402,权力,4,126,40.32
403,权力,4,127,48.91
404,,4,128,56.35
405,,4,128,60.79
406,,4,129,65.76
407,,4,129,67.23
408,,4,130,71.04
409,,4,130,78.19
410,,4,130,81.25
411,,4,130,84.82
412,,4,130,85.79
413,,4,130,86.91
414,,4,130,88.08
415,,4,131,95.12
416,,4,132,96.19
417,,4,132,96.93
418,,4,132,98.55
419,,4,132,106.08
420,权力,4,133,110.1
421,权力,4,133,112.75
422,,4,133,114.63
423,,4,133,119.29
424,作为领导者或权威的人应当承担责任并意识到自己命令的合理性真正的领导力不仅在于下达命令更在于理解其命令的可行性和对他人的影响,4,134,129.19
425,,4,134,130.52
426,,4,135,135.39
427,,4,135,133.32
428,,4,136,142.53
429,,4,137,144.88
430,,4,137,146.48
431,,4,137,148.51
432,,4,138,156.7
433,,4,139,159.93
434,,4,140,163.84
435,,4,141,165.3
436,,4,142,170.69
437,,4,143,174
438,,4,143,171.97
439,,4,144,176.16
440,,4,145,180.61
441,国王声称统治一切包括所有星星权力和控制欲的极致表达然而这种声称权威对于控制自然法则和宇宙秩序的无力感真实的权力有其界限特别是在自然界和宇宙这样宏大的背景下,4,146,183.67
442,,4,147,186.41
443,,4,147,188.35
444,,4,147,190.09
445,,4,148,193.56
446,一天的结束时间的流逝以及反思和静谧的时刻在这里日落小王子对生活中宁静和美好瞬间的渴望对小王子来说日落不仅是天体运行的自然现象更是他个人情感体验和内心世界的一部分,4,148,205.91
447,,4,148,238.96
448,,4,149,243.6
449,,4,150,244.97
450,,4,150,250.12
451,,4,150,253.33
452,,4,150,257.77
453,,4,150,262.2
454,,4,151,265.11
455,,4,151,269.23
456,,4,152,272.11
457,,4,152,273.99
458,国王声称能够命令日落但他必须等到自然条件成熟即实际上的日落时间即使是权力最大的人也无法控制自然规律人类权力的局限和对自然的尊重,4,152,278.2
459,,4,153,282.29
460,,4,153,279.73
461,,4,154,283.62
462,,4,154,290.12
463,,4,154,290.91
464,,4,154,296.08
465,,4,154,298.79
466,,4,155,301.87
467,,4,155,303.72
468,,4,155,308.59
469,决定离开因为他没有看到日落对自由的渴望和对无效权威的失望当个体意识到外在控制的局限和虚幻时内心对于自由和真实体验的追求,4,155,309.67
470,别走权力,4,156,315.22
471,国王因刚得到一个臣民而感到自满权力的虚幻性以及因拥有一点权力而产生的自满态度这位国王对自己的权力感到骄傲尽管他的王国实际上非常有限几乎不存在,4,156,317.36
472,,4,157,318.85
473,,4,158,320.91
474,,4,159,324.04
475,,4,160,326.71
476,,4,160,329.86
477,国王以年老和走路累为由不巡视自己的王国逃避责任的态度即使是拥有权力的人也可能会找借口不履行他们的职责从而忽视了对他们领导下的人或事务的关照,4,160,336.2
478,,4,161,343.46
479,权力,4,161,349.58
480,权力,4,161,351.2
481,权力,4,161,354.06
482,权力,4,161,358.49
483,,4,162,363.02
484,,4,162,365.24
485,,4,163,366.45
486,,4,163,372.19
487,,4,163,374.42
488,,4,163,375.47
489,,4,163,377.45
490,,4,163,380.54
491,,4,163,385.75
492,,4,163,388.18
493,,4,164,395.35
494,,4,165,397.4
495,,4,166,408.39
496,,4,166,412.75
497,,4,166,422.75
498,,4,167,427.04
499,,4,168,429.62
500,,4,169,435.29
501,,4,170,438.72
502,,4,171,440.26
503,,4,171,442.83
504,,4,171,446.93
505,,4,172,450.9
506,,4,173,453.53
507,,4,173,455.81
508,,4,174,460.5
509,虽然帽子用于致意但由于没有人经过虚荣心所追求的认可其实是空洞和无意义的这位爱虚荣的人的行为虚荣心背后的孤独和缺乏真正的人际联系,4,174,464.58
510,,4,174,467.04
511,,4,175,471.86
512,,4,175,469.78
513,,4,176,477.16
514,,4,177,479.6
515,,4,177,483.83
516,,4,178,487.88
517,,4,178,490.24
518,,4,178,493.33
519,,4,178,502.9
520,虚荣,4,179,505.68
521,虚荣,4,179,509.02
522,虚荣,4,180,512.47
523,虚荣,4,180,510.49
524,虚荣,4,181,514.94
525,虚荣,4,182,522.93
526,,4,183,526.19
527,,4,184,527.89
528,,4,184,530.25
529,,4,185,538.9
530,,4,186,541.03
531,,4,187,547.48
532,,4,188,551.85
533,,4,188,558.11
534,,4,188,566.77
535,,4,189,571.38
536,人的痛苦和孤独,4,190,573.43
537,人的痛苦和孤独,4,190,574.86
538,人的痛苦和孤独,4,191,579.32
539,人的痛苦和孤独,4,192,584.91
540,不良嗜好或安于堕落的人逃避现实的态度酒鬼因为羞愧喝酒又因为喝酒而羞愧形成了一个恶性循环人们如何通过不健康的方式来逃避自我反省和面对真实问题人的痛苦和孤独,4,192,583.15
541,人的痛苦和孤独,4,193,591.13
542,人的痛苦和孤独,4,194,593.19
543,人的痛苦和孤独,4,194,595.8
544,人的痛苦和孤独,4,195,600.45
545,人的痛苦和孤独,4,195,603.71
546,人的痛苦和孤独,4,196,606.16
547,人的痛苦和孤独,4,197,612.18
548,,5,198,2.84
549,,5,198,8.6
550,,5,199,11.22
551,,5,199,13.34
552,,5,200,15.46
553,,5,200,16.85
554,,5,200,18.66
555,,5,200,19.5
556,,5,200,21.3
557,,5,200,23.33
558,,5,200,25.68
559,,5,200,27.93
560,,5,200,28.55
561,,5,200,33.79
562,,5,201,35.91
563,,5,202,36.85
564,,5,202,38.62
565,财富贪婪迷失什么是拥有,5,202,43.34
566,财富贪婪迷失什么是拥有,5,202,46.88
567,,5,202,48.44
568,,5,203,56.33
569,实业家对物质财富的追求工作与生活失衡的问题以及现代社会中的自然资源控制欲和个体的社会孤立,5,204,63.34
570,,5,204,68.47
571,,5,204,73.55
572,,5,204,80.95
573,,5,204,82.57
574,,5,204,85.19
575,,5,204,90.06
576,实业家忙于计算甚至没有时间重新点燃他的烟卷现代生活中人们对工作的过度投入以至于忽视了生活中的小乐趣和人际交往,5,205,99.46
577,,5,206,101
578,,5,207,104.86
579,,5,208,106.44
580,,5,209,107.58
581,财富贪婪迷失什么是拥有,5,209,112.8
582,财富贪婪迷失什么是拥有,5,209,114.26
583,财富贪婪迷失什么是拥有,5,209,116.13
584,,5,210,117.49
585,,5,210,119.05
586,,5,211,119.82
587,,5,211,120.89
588,,5,212,123.87
589,,5,213,127.78
590,,5,213,130.58
591,,5,214,132.9
592,,5,215,134.58
593,,5,216,135.62
594,财富贪婪迷失什么是拥有,5,217,137.01
595,财富贪婪迷失什么是拥有,5,217,138.74
596,财富贪婪迷失什么是拥有,5,218,141.61
597,财富贪婪迷失什么是拥有,5,219,142.77
598,财富贪婪迷失什么是拥有,5,220,149.47
599,儿财富贪婪迷失什么是拥有,5,220,150.65
600,财富贪婪迷失什么是拥有,5,221,153.52
601,财富贪婪迷失什么是拥有,5,222,155.87
602,财富贪婪迷失什么是拥有,5,222,158.72
603,财富贪婪迷失什么是拥有,5,222,164.56
604,财富贪婪迷失什么是拥有,5,223,177.17
605,星星作为夜空中自然而然存在的美丽事物自然界的奇迹和宇宙的广阔实业家对星星的拥有和统计试图将无法真正被占有的自然美归为个人财产的愚蠢财富贪婪迷失什么是拥有,5,224,180.04
606,财富贪婪迷失什么是拥有,5,224,183.22
607,财富贪婪迷失什么是拥有,5,225,184.9
608,财富贪婪迷失什么是拥有,5,225,186.44
609,财富贪婪迷失什么是拥有,5,226,191.74
610,财富贪婪迷失什么是拥有,5,227,193.36
611,财富贪婪迷失什么是拥有,5,228,194.6
612,财富贪婪迷失什么是拥有,5,228,199.57
613,财富贪婪迷失什么是拥有,5,228,204.26
614,财富贪婪迷失什么是拥有,5,228,210.54
615,财富贪婪迷失什么是拥有,5,228,216.8
616,财富贪婪迷失什么是拥有,5,229,220.27
617,财富贪婪迷失什么是拥有,5,229,223.24
618,财富贪婪迷失什么是拥有,5,230,225.73
619,财富贪婪迷失什么是拥有,5,230,228.57
620,财富贪婪迷失什么是拥有,5,230,230.38
621,财富贪婪迷失什么是拥有,5,230,232.72
622,财富贪婪迷失什么是拥有,5,231,235.5
623,财富贪婪迷失什么是拥有,5,231,243.95
624,财富贪婪迷失什么是拥有,5,231,248.7
625,财富贪婪迷失什么是拥有,5,231,253.68
626,财富贪婪迷失什么是拥有,5,231,256.34
627,财富贪婪迷失什么是拥有,5,232,258.7
628,财富贪婪迷失什么是拥有,5,233,263.14
629,财富贪婪迷失什么是拥有,5,233,265.72
630,财富贪婪迷失什么是拥有,5,234,267.76
631,财富贪婪迷失什么是拥有,5,235,269.21
632,儿财富贪婪迷失什么是拥有,5,236,272.19
633,财富贪婪迷失什么是拥有,5,236,273.65
634,儿财富贪婪迷失什么是拥有,5,236,277.95
635,财富贪婪迷失什么是拥有,5,237,283.61
636,财富贪婪迷失什么是拥有,5,237,288.38
637,财富贪婪迷失什么是拥有,5,237,294.36
638,财富贪婪迷失什么是拥有,5,237,297.12
639,财富贪婪迷失什么是拥有,5,237,302.91
640,小王子照顾火山和花一种对自然界负责任的态度和与之和谐共存的愿望相比之下实业家的星星拥有一种控制和利用自然的态度忽视了与自然界建立真正意义上的联系财富贪婪迷失什么是拥有,5,237,311.48
641,财富贪婪迷失什么是拥有,5,238,319.11
642,,5,239,322.37
643,,5,239,325.04
644,,5,239,329.55
645,,5,239,341.02
646,,5,240,346.06
647,,5,240,353.24
648,,5,240,356.1
649,,5,240,362.11
650,,5,240,367.19
651,,5,240,369.26
652,,5,240,371.5
653,,5,241,377.47
654,,5,242,381.35
655,机械化的生活和无意义的劳动灯塔守护者遵循规则每分钟点亮和熄灭灯塔没有时间休息在现代生活中人们如何被例行公事所束缚忘记了生活的真谛,5,243,384.99
656,,5,243,386.18
657,,5,244,388.22
658,,5,245,390.74
659,,5,245,392.32
660,,5,246,395.06
661,,5,247,398.54
662,,5,248,402.1
663,,5,249,404.99
664,,5,250,408.26
665,,5,250,410.36
666,,5,250,411.58
667,,5,251,414.55
668,,5,252,418.8
669,,5,252,421.85
670,,5,252,423.36
671,,5,252,425.61
672,,5,252,433.28
673,,5,253,436.71
674,现实世界中人们的机械和麻木,5,253,439.03
675,现实世界中人们的机械和麻木,5,253,444.42
676,现实世界中人们的机械和麻木,5,254,446.02
677,现实世界中人们的机械和麻木,5,254,447.54
678,现实世界中人们的机械和麻木,5,255,452.58
679,现实世界中人们的机械和麻木,5,255,455.95
680,现实世界中人们的机械和麻木,5,256,457.45
681,现实世界中人们的机械和麻木,5,256,460.41
682,现实世界中人们的机械和麻木,5,257,463.59
683,,5,257,467.09
684,,5,258,468.37
685,,5,259,469.22
686,,5,259,470.43
687,,5,259,471.26
688,,5,259,472.49
689,,5,260,475.85
690,现实世界中人们的机械和麻木,5,261,480.76
691,儿现实世界中人们的机械和麻木,5,261,485.65
692,现实世界中人们的机械和麻木,5,261,497.59
693,现实世界中人们的机械和麻木,5,262,502.11
694,,5,263,508.14
695,,5,263,512.22
696,,5,263,518.74
697,,5,264,523.26
698,,5,264,526.19
699,,5,265,529.45
700,,5,266,532.28
701,,5,266,533.6
702,,5,267,536.53
703,,5,268,550.84
704,,5,268,554.85
705,真正的意义在于能为别人提供价值,5,268,559.42
706,,5,269,568.25
707,,5,269,570.75
708,,5,269,583.45
709,,6,270,1.9
710,,6,270,5.95
711,,6,271,7.56
712,,6,271,9.4
713,,6,271,12.75
714,,6,272,16.01
715,,6,272,17.89
716,,6,273,20.38
717,,6,273,22.62
718,,6,274,25.49
719,,6,274,26.93
720,,6,274,28.64
721,,6,275,32.54
722,,6,276,34.64
723,,6,277,45.63
724,,6,278,49.83
725,,6,278,52.11
726,,6,278,55.36
727,,6,278,58.74
728,,6,279,60.94
729,,6,279,63.03
730,那些只注重知识积累而忽略亲身经验的人自己却从未去探索知识与真正的智慧之间的差异以及亲身体验对于理解世界的重要性,6,280,67.46
731,,6,281,68.67
732,,6,281,71.18
733,,6,281,73.61
734,,6,282,77.93
735,,6,283,82.18
736,,6,284,86.95
737,官僚脱离现实,6,285,89.77
738,官僚脱离现实,6,286,96.51
739,官僚脱离现实,6,286,99.43
740,官僚脱离现实,6,286,106.25
741,官僚脱离现实,6,286,109.85
742,官僚脱离现实,6,286,112.2
743,官僚脱离现实,6,286,116.12
744,官僚脱离现实,6,286,120.42
745,官僚脱离现实,6,286,130.9
746,官僚脱离现实,6,287,133.03
